mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53386.01952,-11.79691,0.0798,-11.44379,0.0798,MaidanakSITE
53388.98907,-11.80497,0.0732,-11.47327,0.0731,MaidanakSITE
53415.93379,-11.82871,0.0619,-11.48498,0.0622,MaidanakSITE
53420.92991,-11.82762,0.0605,-11.4829,0.0593,MaidanakSITE
53428.96145,-11.82252,0.0663,-11.45828,0.0673,MaidanakSITE
53430.96217,-11.80129,0.0663,-11.44708,0.066,MaidanakSITE
53434.94655,-11.82102,0.0449,-11.47457,0.0444,MaidanakSITE
53435.16513,-11.81297,0.0185,-11.44372,0.0187,Mercator
53452.13033,-11.81952,0.0202,-11.39153,0.0207,Mercator
53468.07375,-11.86475,0.0302,-11.39841,0.0303,Mercator
53473.02578,-11.84215,0.0198,-11.4033,0.0198,Mercator
53474.01791,-11.82306,0.025,-11.37402,0.0251,Mercator
53478.02156,-11.84757,0.0244,-11.39667,0.0246,Mercator
53485.03418,-11.85078,0.0288,-11.40425,0.0271,Mercator
53488.04545,-11.88252,0.017,-11.43318,0.0177,Mercator
53488.93963,-11.85555,0.0229,-11.4376,0.0229,Mercator
53489.9907,-11.84309,0.021,-11.41587,0.0212,Mercator
53491.96475,-11.84477,0.0197,-11.41199,0.0198,Mercator
53493.97016,-11.85396,0.019,-11.43025,0.0191,Mercator
53495.97159,-11.84391,0.0222,-11.42391,0.0224,Mercator
53497.0102,-11.83208,0.0252,-11.39272,0.0258,Mercator
53498.00715,-11.84957,0.0171,-11.42436,0.0178,Mercator
53499.01713,-11.84413,0.0203,-11.41274,0.0206,Mercator
53502.02544,-11.83754,0.0228,-11.39745,0.0231,Mercator
53503.96205,-11.84726,0.0207,-11.41137,0.0208,Mercator
53510.96137,-11.85874,0.051,-11.4333,0.0524,Mercator
53516.99354,-11.83345,0.0178,-11.42317,0.018,Mercator
53519.78787,-11.79666,0.0501,-11.3982,0.0497,MaidanakSITE
53520.05793,-11.81919,0.0205,-11.42563,0.0207,Mercator
53521.97978,-11.80833,0.0191,-11.41969,0.0193,Mercator
53535.70869,-11.79113,0.0578,-11.4339,0.0584,MaidanakSITE
53542.99419,-11.80903,0.0176,-11.50979,0.0221,Mercator
53543.71296,-11.81063,0.0321,-11.49372,0.0341,MaidanakSITE
53544.94842,-11.78679,0.0229,-11.44843,0.0238,Mercator
53545.92618,-11.79263,0.0164,-11.46335,0.0166,Mercator
53550.95112,-11.79344,0.017,-11.46647,0.0171,Mercator
53552.69264,-11.78716,0.0411,-11.47089,0.042,MaidanakSITE
53554.93881,-11.78827,0.0124,-11.47592,0.0129,Mercator
53557.94375,-11.79221,0.0106,-11.4894,0.0108,Mercator
53561.91663,-11.81108,0.0129,-11.51457,0.0135,Mercator
53568.94369,-11.78182,0.0206,-11.48578,0.0231,Mercator
53587.93031,-11.79146,0.017,-11.56496,0.0175,Mercator
53590.91976,-11.75563,0.0129,-11.52293,0.0131,Mercator
53695.23668,-11.82652,0.0084,-11.41289,0.0099,Mercator
53706.25677,-11.78782,0.017,-11.39023,0.0175,Mercator
53708.1965,-11.80335,0.006,-11.4157,0.0066,Mercator
53711.25493,-11.78816,0.0087,-11.39824,0.009,Mercator
53714.22536,-11.782,0.0052,-11.38724,0.0057,Mercator
53718.16075,-11.78098,0.009,-11.40006,0.0099,Mercator
53728.04599,-11.78166,0.0404,-11.46576,0.0406,MaidanakSITE
53743.26199,-11.75643,0.0073,-11.41938,0.0077,Mercator
53758.98204,-11.76111,0.0308,-11.4508,0.0309,MaidanakSITE
53764.23549,-11.7923,0.0073,-11.44538,0.0073,Mercator
53766.18498,-11.78975,0.0071,-11.44585,0.0074,Mercator
53768.2127,-11.78535,0.0069,-11.44103,0.0081,Mercator
53769.91841,-11.82943,0.0126,-11.58281,0.0104,MaidanakSITE
53770.18221,-11.80895,0.0065,-11.4546,0.0069,Mercator
53772.19816,-11.79647,0.0077,-11.45968,0.0073,Mercator
53777.9343,-11.78582,0.0344,-11.50728,0.0342,MaidanakSITE
53783.18482,-11.80321,0.0059,-11.45397,0.0069,Mercator
53787.01498,-11.80044,0.0115,-11.55723,0.0148,MaidanakSITE
53792.97298,-11.79905,0.015,-11.53564,0.0175,MaidanakSITE
53801.86852,-11.78115,0.0123,-11.50382,0.0164,MaidanakSITE
53802.96432,-11.80432,0.017,-11.48856,0.0175,Mercator
53804.08968,-11.807,0.0055,-11.48489,0.0083,Mercator
53805.13789,-11.8216,0.0082,-11.52957,0.0073,Mercator
53805.7843,-11.77282,0.0263,-11.49475,0.0266,MaidanakSITE
53808.09338,-11.80537,0.0075,-11.47528,0.0106,Mercator
53809.14172,-11.76672,0.0174,-11.44816,0.0218,Mercator
53813.17106,-11.78677,0.017,-11.48974,0.0175,Mercator
53815.16625,-11.78357,0.0074,-11.47992,0.0079,Mercator
53816.19072,-11.78094,0.0074,-11.45241,0.0066,Mercator
53818.14909,-11.77114,0.0041,-11.46372,0.0068,Mercator
53826.89939,-11.74852,0.0084,-11.46023,0.0086,MaidanakSITE
53837.83572,-11.74129,0.0112,-11.4472,0.0138,MaidanakSITE
53840.89694,-11.72641,0.0108,-11.42276,0.0142,MaidanakSITE
53847.8676,-11.71422,0.0069,-11.39398,0.007,MaidanakSITE
53856.81414,-11.71284,0.0182,-11.39028,0.0198,HCT
53856.84754,-11.70873,0.0049,-11.3829,0.005,MaidanakSITE
53859.06778,-11.71457,0.017,-11.41282,0.0175,Mercator
53861.06414,-11.70495,0.0098,-11.39101,0.0106,Mercator
53863.02531,-11.70623,0.017,-11.39066,0.0175,Mercator
53863.73194,-11.66802,0.0199,-11.32478,0.0202,MaidanakSITE
53864.08797,-11.70994,0.0116,-11.40705,0.0126,Mercator
53866.06337,-11.70262,0.009,-11.40949,0.01,Mercator
53867.77026,-11.70508,0.0314,-11.38256,0.0208,MaidanakSITE
53868.03082,-11.69302,0.0114,-11.40567,0.0119,Mercator
53870.031,-11.69502,0.0083,-11.41841,0.009,Mercator
53871.99938,-11.68344,0.0082,-11.42516,0.0088,Mercator
53872.81767,-11.68841,0.013,-11.40317,0.0097,MaidanakSITE
53875.06219,-11.66957,0.0087,-11.43401,0.009,Mercator
53876.03821,-11.67548,0.0105,-11.44433,0.0108,Mercator
53876.83314,-11.68585,0.0157,-11.43622,0.0158,MaidanakSITE
53878.99071,-11.67888,0.008,-11.44413,0.0082,Mercator
53879.79188,-11.67306,0.0321,-11.43007,0.0341,MaidanakSITE
53886.74768,-11.66309,0.014,-11.38427,0.0152,MaidanakSITE
53887.70692,-11.67465,0.0137,-11.45025,0.0137,MaidanakSITE
53888.98393,-11.67083,0.0116,-11.47139,0.012,Mercator
53889.99092,-11.65422,0.0086,-11.45566,0.009,Mercator
53890.76487,-11.66576,0.0124,-11.42367,0.013,MaidanakSITE
53893.984,-11.66803,0.0097,-11.49454,0.0103,Mercator
53894.77862,-11.66458,0.0283,-11.46008,0.0266,MaidanakSITE
53894.97189,-11.6284,0.0107,-11.47585,0.0108,Mercator
53897.94581,-11.62503,0.0115,-11.44479,0.0123,Mercator
53899.75821,-11.67019,0.0211,-11.44249,0.0182,MaidanakSITE
53903.76736,-11.64285,0.0217,-11.41875,0.0216,MaidanakSITE
53907.76362,-11.64796,0.0234,-11.42815,0.0235,MaidanakSITE
53909.96942,-11.59128,0.0099,-11.46013,0.0101,Mercator
53912.71304,-11.60151,0.0089,-11.34264,0.0135,MaidanakSITE
53916.7256,-11.58045,0.0137,-11.30289,0.0167,MaidanakSITE
53918.95958,-11.59164,0.0158,-11.46029,0.016,Mercator
53919.93564,-11.59211,0.0137,-11.46201,0.0138,Mercator
53920.68842,-11.51955,0.0416,-11.24956,0.058,MaidanakSITE
53924.91419,-11.52825,0.0167,-11.42349,0.0171,Mercator
53925.96832,-11.61349,0.0182,-11.4401,0.0198,Mercator
53927.90046,-11.58776,0.0145,-11.43241,0.0149,Mercator
53930.91897,-11.56408,0.0157,-11.42029,0.0158,Mercator
53932.68554,-11.60668,0.0169,-11.34842,0.0169,MaidanakSITE
54075.27786,-11.66966,0.0195,-11.19879,0.0201,Mercator
54082.18217,-11.65582,0.0184,-11.1696,0.0188,Mercator
54084.22718,-11.65892,0.02,-11.16553,0.0204,Mercator
54100.04718,-11.60115,0.0219,-11.0744,0.0236,MaidanakSI
54103.26117,-11.66606,0.0167,-11.17469,0.018,Mercator
54110.166,-11.64991,0.0179,-11.19506,0.0179,Mercator
54111.22843,-11.64343,0.0174,-11.1961,0.0183,Mercator
54117.02794,-11.58561,0.0254,-11.11408,0.0265,MaidanakSI
54117.22674,-11.6328,0.0155,-11.19584,0.0158,Mercator
54118.29232,-11.62381,0.0222,-11.18212,0.0231,Mercator
